ISBN,Book-Rating,Book-Title,Book-Author,Year-Of-Publication,Publisher,categories
0001047213,9.0,The Fighting Man,Gerald Seymour,1993,HarperCollins Publishers,Armies
0001047973,9.0,Brave New World,Aldous Huxley,1999,Trafalgar Square Publishing,Fiction
000104799X,7.5,Monk's-hood,Ellis Peters,1994,HarperCollins Publishers,Fiction
0001048082,8.0,Made in America,Bill Bryson,1995,HarperCollins Publishers,Americanisms
0001053744,5.0,Pearl and Sir Orfeo,J. R. R. Tolkien,1999,Trafalgar Square Publishing,Poetry
0002115328,9.0,Mother Teresa: Her people and her work,Desmond Doig,1976,Collins,Nuns
0002165368,8.0,Arthur C. Clarke's mysterious world,Simon Welfare,1980,Collins,Curiosities and wonders
0002176181,9.0,Arthur C. Clarke's chronicles of the strange and mysterious,John Fairley,1987,Collins,Curiosities and wonders
0002190915,9.5,Life on earth: A natural history,David Attenborough,1979,Collins,Animals
0002210436,5.0,Agent In Place,Helen Macinnes,0,Collins,Fiction
0002216140,7.0,Offshore,Penelope Fitzgerald,1979,Collins,Barges
0002227150,6.0,White Gold Wielder,Stephen R Donaldson,0,Collins,Fiction
0002237857,4.0,The Trojan Hearse,Brian Callison,1991,Trafalgar Square,Mass media and propaganda
0002243016,3.0,Desperadoes,Joseph O'Connor,1994,Flamingo,Fiction
0002243776,7.0,Visible Worlds: A Novel,Marilyn Bowering,1997,Harpercollins Canada,Brothers
0002243865,8.0,The Garden of Eden,Sharon Butala,1998,HarperCollins Publishers,Fiction
0002243962,5.75,Girlfriend In a Coma,Douglas Coupland,0,Harper Collins Publishers,Fiction
000225056X,10.0,The International Garlic Cookbook,Publishers Staf Collins,1995,HarperCollins,Cooking
0002253178,8.0,Earthly Joys,Philippa Gregory,1998,Harpercollins,Fiction
000225414X,7.5,Winston's War,Michael Dobbs,2002,HarperCollins,History
0002258382,5.0,The Dragon Charmer,Jan Siegel,2000,Voyager,Fiction
0002311216,8.0,"Passenger to Frankfurt: An extravaganza,",Agatha Christie,1970,[Published for] the Crime Club [by] Collins,Fiction
0002554119,7.0,"Labyrinth of Desire: Women, Passion, and Romantic Obsession",Rosemary Sullivan,2001,HarperFlamingo Canada,Poetry
0002554232,10.0,The Red Shoes: Margaret Atwood Starting Out,Rosemary Sullivan,1998,HarperCollins Publishers,Biography & Autobiography
0002558122,8.2,Angelas Ashes,Frank Mccourt,0,Harpercollins Australia,Children
0004704754,10.0,Complete Works of William Shakespeare,William Shakespeare,1994,Collins,Drama
0004720695,7.0,Irish Dancing (Collins Pocket Reference),Tom Quinn,1998,Trafalgar Square,Social Science
000611962X,7.0,The Guns of Navarone,Alistair Maclean,1968,HarperCollins Publishers Inc,Fiction
0006131409,7.0,The Trojan horse,Hammond Innes,1973,Fontana,Juvenile Nonfiction
0006149995,8.0,LORD OF THE FAR ISLAND,Victoria Holt,1977,HarperCollins Publishers,Fiction
0006161529,7.5,Vintage Murder,Ngaio Marsh,0,Harpercollins Publisher,Fiction
0006164625,4.0,Family Affairs,Catherine Gaskin,1987,HarperCollins Publishers,Young Adult Fiction
0006166598,5.0,A Kind of Anger,Eric Ambler,1986,HarperCollins Publishers,Fiction
0006175473,7.0,The Land God Made in Anger,John Gordon Davis,1990,HarperCollins Publishers,Namibia
000617616X,6.75,At Close Quarters,Gerald Seymour,1988,HarperCollins Publishers,Sports & Recreation
0006367763,8.0,Anastasia: The Life of Anna Anderson,Peter Kurth,1985,HarperCollins Publishers,Impostors and imposture
0006379834,5.0,Looking for Trouble: Sas to Gulf Command-The Autobiography,General Sir Peter Billiere,1995,Harpercollins,Generals
0006385400,9.0,The Red Shoes : Margaret Atwood Starting Out,Rosemary Sullivan,1998,Harpercollins Canada,Biography & Autobiography
0006385427,8.0,Girlfriend in a Coma,Douglas Coupland,1998,HarperCollins Publishers,Fiction
0006385907,7.0,Leaning on the Wind: Under the Spell of the Great Chinook,Sid Marty,1997,HarperCollins Publishers,History
0006385923,8.0,Stranded,Eric Walters,2000,HarperCollins Publishers,Juvenile Fiction
0006386725,8.0,101 Unuseless Japanese Inventions,Kenji Kawakami,0,Harper Collins Publishers,Inventions
000638837X,10.0,One Up: A Woman in Action with the SAS,Sarah Ford,1997,HarperCollins Publishers,Soldiers
0006472079,6.0,New beginnings,Maisie Mosco,1992,Fontana,Fiction
0006472648,7.0,Child of the Phoenix,Barbara Erskine,1993,"Acacia Press, Inc.",Fiction
0006473369,8.5,Fallen Skies,Philippa Gregory,1994,HarperCollins,Fiction
0006474950,6.0,Marine Life,Linda Svendsen,0,Harpercollins Publisher,Nature
0006475043,8.0,Sweetheart,Peter Mcgehee,0,Harpercollins Publisher,Fiction
0006479383,8.0,There Will Be Wolves,Karleen Bradford,1994,Harpercollins Canada,Juvenile Fiction
0006497993,7.5,WHISPERS OF BETRAYAL,Michael Dobbs,2001,HarperCollins Publishers,Fiction
000649840X,7.7560975609756095,Angelas Ashes,Frank Mccourt,0,Harpercollins Uk,Children
000649840x,8.0,Angelas Ashes,Frank Mccourt,0,Harpercollins Uk,Children
0006499031,7.0,Red Gold,Furst,1999,Trafalgar Square Publishing,Fiction
0006511309,7.0,Night Soldiers,Furst,1998,Trafalgar Square,Fiction
0006542549,7.0,Human Voices,Penelope Fitzgerald,1997,Albert Britnell Book Shop,Fiction
0006543545,6.75,The bookshop,Penelope Fitzgerald,1989,Flamingo,Humor
0006545726,6.0,Searoad Chronicles of Klatsand,Ursula K. Le Guin,0,Flamingo,Fiction
0006546684,7.0,Postcards,E Annie Proulx,0,Flamingo,Fiction
000654679X,4.0,Remembrance Day,Brian Aldiss,0,Flamingo,England
0006547613,8.0,Involved,Kate Oriordan,0,Flamingo,Political Science
0006548539,8.5,Legends of the Fall,Jim Harrison,0,Harpercollins Uk,Fiction
0006550061,7.0,Splitting,Fay Weldon,0,Flamingo,Family & Relationships
0006550193,7.5,The blue flower,Penelope Fitzgerald,1996,Flamingo,Fiction
0006550576,7.266666666666667,Red Leaves,Paullina Simons,0,Flamingo,Fiction
0006550878,7.0,Tenterhooks,Suzannah Dunn,1999,"Acacia Press, Inc.",Short stories
0006551076,6.0,Ocean In Iowa,Peter Hedges,0,Flamingo,Fiction
0006742912,7.0,Elidor,Alan Garner,1999,Collins,Juvenile Fiction
0006923135,10.0,Secret Garden,Frances Hodgson Burnett,1988,HarperCollins Publishers,Juvenile Fiction
0006940889,7.0,My Teacher Flunked the Planet,Bruce Coville,1992,HarperCollins Publishers,Juvenile Fiction
0007102763,6.0,Understanding Dreams,Nerys Dee,2000,Thorsons Publishers,Christian life
000710698X,10.0,"Pagan Pathways, New Edition",Charlotte Hardman,2001,Thorsons Publishers,"Body, Mind & Spirit"
0007107110,7.0,Saving Grace,Tom McGregor,2000,Trafalgar Square,Fiction
0007107110,7.0,Saving Grace,Tom McGregor,2000,Trafalgar Square,Biography & Autobiography
0007110928,7.703703703703703,Billy,Pamela Stephenson,2002,HarperCollins Entertainment,Juvenile Fiction
0007113463,10.0,Never Again,Martin Gilbert,2001,HarperCollins Illustrated,Political Science
000712855X,9.0,Looking for Andrew McCarthy,Jenny Colgan,2001,HarperCollins,Fiction
0007134495,7.0,Parzival and the Stone from Heaven: A Grail Romance Retold for Our Time,Lindsay Clarke,2002,Thorsons Publishers,Grail
0007137508,8.0,Wellington,Richard Holmes,2003,HarperCollins,Biography & Autobiography
0007141076,7.5,Unless: A Novel,Carol Shields,2002,Fourth Estate,Fiction
0007141084,8.0,Moral Hazard: A Novel,Kate Jennings,2002,Fourth Estate,Fiction
0007154607,7.5,Colors Insulting to Nature : A Novel,Cintra Wilson,2004,Fourth Estate,Fiction
0007154615,7.357142857142857,Unless : A Novel,Carol Shields,2003,Perennial,Fiction
0020029101,6.0,AUTOBIOGRAPHY OF BENJAMIN FRANKLIN,Benjamin Franklin,1962,Touchstone,Biography & Autobiography
0020080956,5.0,"The Elements of Business Writing: A Guide to Writing Clear, Concise Letters, Memos, Reports, Proposals, and Other Business Documents",Gary Blake,1992,MacMillan Publishing Company,Education
0020088248,7.5,The Man in the Queue,Josephine Tey,1988,Simon &amp; Schuster,Fiction
0020103514,8.0,The Afternoon Tea Book,Michael  Smith,1989,John Wiley &amp; Sons,Cooking
002013021X,6.0,Where's Dan Quayle?,Jim Becker,1991,Simon &amp; Schuster,Humor
0020198906,7.235294117647059,Joshua,Joseph F Girzone,1987,Macmillan,Medical
0020199201,5.5,THIS SIDE OF PARADISE,F. Scott Fitzgerald,1988,Scribner Paper Fiction,Fiction
0020209851,10.0,Not Without Laughter,Langston Hughes,1995,Touchstone,Fiction
0020223722,8.333333333333334,HOW GREEN WAS MY VALLEY,Richard Llewellyn,1992,Scribner Paper Fiction,Fiction
0020238207,8.0,Cross Creek,Marjorie Kinnan Rawlings,1987,Simon &amp; Schuster,Fiction
0020259018,7.0,VENOM HOUSE,Arthur Upfield,1989,Scribner Paper Fiction,Fiction
