,User-ID,BookID,Book-Rating
0,2313,themartianchronicles,7
1,2313,nonoboy,8
4,6543,fahrenheit451,8
5,6543,1sttodieanovel,9
10,6543,theno1ladiesdetectiveagency,6
11,6543,saltdancers,7
13,6543,galileosdaughterahistoricalmemoirofsciencefaithandlove,6
15,6543,thecolorofmagic,6
16,6543,threejunes,7
17,6543,lambthegospelaccordingtobiffchristschildhoodpal,10
21,6543,godsavethesweetpotatoqueens,7
22,6543,visionsofsugarplums,6
23,6543,everythingseventual14darktales,8
24,6543,shepherdsabiding,8
27,6543,hungryghost,4
28,6543,extravirginayoungwomandiscoverstheitalianrivierawhereeverymonthisenchanted,7
31,6543,rice,7
34,6543,deathandthedancingfootman,9
35,6543,spinstersinjeopardy,7
43,6543,threejunes,7
44,6543,adogyeartwelvemonthsfourdogsandme,10
45,6543,murderrunsinthefamilyasouthernsistersmystery,8
48,6543,outlander,8
49,6543,ontheroad,10
52,6543,nightatthevulcan,8
53,6543,overturetodeath,7
56,6543,jitterbugperfume,10
57,6543,thebuffalosoldieranovelbythebestsellingauthorofmidwives,8
63,6543,december6anovel,7
64,6543,thehighwayman,10
69,6543,ambulancegirlhowisavedmyselfbybecominganemt,8
70,6543,tamarindwoman,9
72,6543,sarahwomenofgenesis,8
74,8680,1984,5
75,10314,tokillamockingbird,9
76,10314,tokillamockingbird,9
78,10314,thestonediaries,5
79,10314,theredtentbestsellingbacklist,9
81,10314,metalkprettyoneday,7
85,10314,stonesfromtheriver,7
86,10314,icysparks,6
87,10314,thebluesteye,5
88,10314,ofmiceandmen,3
90,10314,luckymanamemoir,9
94,10314,thereader,5
97,10314,coldmountainanovel,6
101,10314,nothingtofallbackonthelifeandtimesofaperpetualoptimist,8
102,10314,slammerkin,8
105,10314,missjuliatakesover,6
106,10314,theotherboleyngirl,9
107,10314,beautifulbodiesanovel,8
109,10314,halfaheart,9
118,10314,saywhenanovel,7
120,10314,bestfriends,8
121,23768,thenotebook,6
134,23768,thecatinthehat,9
135,23768,areyoumymother,8
146,23768,tellnoone,8
148,23768,frecklejuice,8
159,23768,theno1ladiesdetectiveagency,8
190,23768,kitchen,8
220,23768,slammerkin,8
221,23768,caneriver,8
223,23768,ellaminnowpeaanovelinletters,8
232,23768,bravenewworld,8
236,23768,youcantkeepagoodwomandown,9
249,23768,theselectedpoemsofnikkigiovanni19681995,9
261,23768,visionsofsugarplums,8
278,23768,brothersandsisters,5
280,23768,theireyeswerewatchinggod,9
317,23768,caneriver,8
333,23768,quiltingtheblackeyedpeapoemsandnotquitepoems,9
336,23768,wherethewildthingsare,9
352,23768,tattoo,7
356,23768,badboybrawlybrownaneasyrawlinsmystery,8
357,23768,walkinthedog,9
358,23768,theautobiographyofmalcolmx,10
368,23768,thenortonanthologyofafricanamericanliterature,10
388,23768,she,7
389,23768,she,7
391,23768,thecollectedpoemsoflangstonhughes,10
396,23768,nodisrespect,9
397,23768,lilmamasrulesanovel,4
